Name	ID	NumProbes	NumGenes	ROC	Pval	CorrectedPvalue	Same as	GeneMembers
bile acid metabolic process	GO:0008206	32	32	0.57527908	0.07081174	1		
regulation of natural killer cell activation	GO:0032814	22	22	0.59063016	0.0711561	1		
establishment of mitotic spindle orientation	GO:0000132	10	10	0.63446057	0.07143024	1		
regulation of protein activation cascade	GO:2000257	24	24	0.58634244	0.07214902	1		
protein-DNA complex assembly	GO:0065004	100	100	0.54224834	0.07227784	1		
spindle assembly checkpoint	GO:0071173	31	31	0.57570742	0.07286747	1		
regulation of interleukin-5 production	GO:0032674	14	14	0.61244567	0.07337976	1		
histone methyltransferase complex	GO:0035097	51	51	0.55890349	0.07343874	1		
nucleosome organization	GO:0034728	101	101	0.54177758	0.07353921	1		
regulation of protein processing	GO:0070613	44	44	0.56334863	0.07358772	1	GO:1903317|regulation of protein maturation, 	
regulation of protein maturation	GO:1903317	44	44	0.56334863	0.07358772	1	GO:0070613|regulation of protein processing, 	
modification by host of symbiont morphology or physiology	GO:0051851	24	24	0.5857158	0.07363315	1		
steroid catabolic process	GO:0006706	21	21	0.59132384	0.07434213	1		
ethanol metabolic process	GO:0006067	13	13	0.61599652	0.0746479	1		
cellular defense response	GO:0006968	48	46	0.56158186	0.07484155	1		
somitogenesis	GO:0001756	55	55	0.55626114	0.07513942	1		
membrane protein ectodomain proteolysis	GO:0006509	17	17	0.60087964	0.07566153	1		
regulation of viral process	GO:0050792	121	120	0.53794746	0.07568499	1		
DNA packaging	GO:0006323	123	123	0.53747501	0.07574092	1		
type I interferon signaling pathway	GO:0060337	57	57	0.55500508	0.07612917	1		
cellular response to type I interferon	GO:0071357	57	57	0.55500508	0.07612917	1		
alditol phosphate metabolic process	GO:0052646	28	28	0.57829988	0.07638502	1		
endoderm formation	GO:0001706	21	21	0.59034311	0.07657033	1		
regulation of response to cytokine stimulus	GO:0060759	84	84	0.5450979	0.07662743	1		
peptidyl-lysine acetylation	GO:0018394	68	68	0.55007329	0.07673489	1		
hydrogen peroxide metabolic process	GO:0042743	25	25	0.58267866	0.07685528	1		
chromosome separation	GO:0051304	11	11	0.62439698	0.0776048	1		
positive regulation of macrophage differentiation	GO:0045651	11	11	0.62424794	0.07785726	1		
mitotic nuclear envelope disassembly	GO:0007077	33	33	0.57147042	0.07829441	1		
nuclear chromosome part	GO:0044454	221	221	0.52767249	0.07847028	1		
regulation of bone resorption	GO:0045124	26	26	0.58041629	0.07854496	1		
visual perception	GO:0007601	175	175	0.53102609	0.07865299	1		
regulation of viral life cycle	GO:1903900	117	116	0.53801005	0.07881401	1		
embryonic skeletal system development	GO:0048706	108	108	0.53930958	0.07920079	1		
histone acetylation	GO:0016573	67	67	0.54984551	0.07920409	1		
internal peptidyl-lysine acetylation	GO:0018393	67	67	0.54984551	0.07920409	1		
regulation of NIK/NF-kappaB signaling	GO:1901222	20	20	0.59127939	0.07952616	1		
regulation of histone methylation	GO:0031060	27	27	0.57850168	0.07964263	1		
SWI/SNF complex	GO:0016514	12	12	0.61790333	0.07967097	1		
negative regulation of intracellular steroid hormone receptor signaling pathway	GO:0033144	23	23	0.58471894	0.08048938	1		
regulation of meiotic nuclear division	GO:0040020	25	25	0.58124453	0.08051829	1		
chromosome, telomeric region	GO:0000781	41	41	0.56329001	0.08107495	1		
skeletal system morphogenesis	GO:0048705	178	178	0.5304111	0.08107859	1		
internal protein amino acid acetylation	GO:0006475	73	73	0.54706358	0.08229114	1		
nuclear chromosome, telomeric region	GO:0000784	17	17	0.59772838	0.08233909	1		
GPI anchor biosynthetic process	GO:0006506	25	25	0.58028683	0.08303598	1		
T cell receptor complex	GO:0042101	12	12	0.61583379	0.0834597	1		
meiosis I	GO:0007127	63	62	0.55076927	0.08346253	1		
positive regulation of leukocyte degranulation	GO:0043302	10	10	0.62692004	0.08358522	1	GO:1903307|positive regulation of regulated secretory pathway, 	
positive regulation of regulated secretory pathway	GO:1903307	10	10	0.62692004	0.08358522	1	GO:0043302|positive regulation of leukocyte degranulation, 	
U1 snRNP	GO:0005685	10	10	0.62690183	0.08361629	1		
positive regulation of oligodendrocyte differentiation	GO:0048714	12	11	0.62079815	0.08387177	1		
regulation of cytokine biosynthetic process	GO:0042035	79	79	0.54489264	0.08396768	1		
snRNA metabolic process	GO:0016073	13	13	0.61098914	0.08397857	1		
negative regulation of immune effector process	GO:0002698	64	64	0.54979594	0.08421565	1		
leukocyte apoptotic process	GO:0071887	18	18	0.59399529	0.08453904	1		
regulation of natural killer cell mediated cytotoxicity	GO:0042269	14	14	0.60648136	0.08487791	1		
regulation of tyrosine phosphorylation of Stat5 protein	GO:0042522	15	15	0.60279364	0.08499547	1		
negative regulation of establishment of protein localization to plasma membrane	GO:0090005	10	10	0.6259031	0.08532788	1	GO:1903077|negative regulation of protein localization to plasma membrane, 	
negative regulation of protein localization to plasma membrane	GO:1903077	10	10	0.6259031	0.08532788	1	GO:0090005|negative regulation of establishment of protein localization to plasma membrane, 	
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:0002822	88	88	0.54204088	0.0865225	1		
establishment of spindle orientation	GO:0051294	12	12	0.6141994	0.08654372	1		
modulation of growth of symbiont involved in interaction with host	GO:0044144	15	15	0.60175108	0.08720606	1	GO:0044146|negative regulation of growth of symbiont involved in interaction with host, 	
negative regulation of growth of symbiont involved in interaction with host	GO:0044146	15	15	0.60175108	0.08720606	1	GO:0044144|modulation of growth of symbiont involved in interaction with host, 	
regulation of chromatin modification	GO:1903308	78	78	0.544447	0.08746151	1		
positive regulation of alpha-beta T cell proliferation	GO:0046641	14	14	0.60508897	0.08774275	1		
endocytic vesicle lumen	GO:0071682	12	12	0.61312162	0.08862236	1		
negative regulation of organ growth	GO:0046621	17	17	0.59490225	0.08868971	1		
regulation of leukocyte mediated immunity	GO:0002703	99	99	0.53918165	0.08908741	1		
protein-DNA complex subunit organization	GO:0071824	120	120	0.53559073	0.08921469	1		
acrosomal membrane	GO:0002080	10	10	0.62349584	0.08957615	1		
blastocyst development	GO:0001824	56	56	0.55200043	0.08992909	1		
negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:0002823	20	20	0.58689934	0.09011717	1		
ectoderm development	GO:0007398	19	19	0.58911752	0.09023486	1		
uterus development	GO:0060065	10	10	0.62306782	0.09034074	1		
positive regulation of natural killer cell mediated immunity	GO:0002717	12	12	0.61210456	0.09061688	1		
regulation of isotype switching	GO:0045191	18	18	0.59126864	0.09096128	1		
DNA damage response, signal transduction resulting in transcription	GO:0042772	14	14	0.60337558	0.09136402	1		
trophectodermal cell differentiation	GO:0001829	15	15	0.59969634	0.09169879	1		
B cell mediated immunity	GO:0019724	60	60	0.5497559	0.09208004	1		
atrial septum morphogenesis	GO:0060413	12	12	0.61099136	0.09283693	1		
regulation of immunoglobulin mediated immune response	GO:0002889	31	31	0.56888126	0.09295853	1		
cohesin complex	GO:0008278	11	11	0.61583596	0.09310743	1		
phosphatidylglycerol acyl-chain remodeling	GO:0036148	13	13	0.60602847	0.09403809	1		
response to progesterone	GO:0032570	28	27	0.57331438	0.09445089	1		
regulation of B cell mediated immunity	GO:0002712	32	32	0.56726093	0.09471969	1		
atrial septum development	GO:0003283	15	15	0.59780558	0.09597497	1		
inflammatory response	GO:0006954	336	335	0.52072377	0.09671538	1		
positive regulation of alpha-beta T cell activation	GO:0046635	42	42	0.55800955	0.09744304	1		
spinal cord motor neuron cell fate specification	GO:0021520	10	10	0.61920952	0.09750353	1		
cytokine-mediated signaling pathway	GO:0019221	264	264	0.5231873	0.09773447	1		
lymphocyte mediated immunity	GO:0002449	88	88	0.53990651	0.09795133	1		
intracellular pH reduction	GO:0051452	16	16	0.59355451	0.09867275	1		
negative regulation of cytokine production involved in immune response	GO:0002719	16	16	0.59343684	0.09895793	1		
monovalent inorganic anion homeostasis	GO:0055083	13	13	0.60367426	0.0991045	1		
negative regulation of sister chromatid segregation	GO:0033046	33	33	0.56484532	0.09947205	1	GO:2000816|negative regulation of mitotic sister chromatid separation, GO:1902100|negative regulation of metaphase/anaphase transition of cell cycle, GO:0033048|negative regulation of mitotic sister chromatid segregation, GO:0071174|mitotic spindle checkpoint, GO:0045841|negative regulation of mitotic metaphase/anaphase transition, 	
negative regulation of mitotic sister chromatid segregation	GO:0033048	33	33	0.56484532	0.09947205	1	GO:2000816|negative regulation of mitotic sister chromatid separation, GO:0033046|negative regulation of sister chromatid segregation, GO:1902100|negative regulation of metaphase/anaphase transition of cell cycle, GO:0071174|mitotic spindle checkpoint, GO:0045841|negative regulation of mitotic metaphase/anaphase transition, 	
negative regulation of mitotic metaphase/anaphase transition	GO:0045841	33	33	0.56484532	0.09947205	1	GO:2000816|negative regulation of mitotic sister chromatid separation, GO:0033046|negative regulation of sister chromatid segregation, GO:1902100|negative regulation of metaphase/anaphase transition of cell cycle, GO:0033048|negative regulation of mitotic sister chromatid segregation, GO:0071174|mitotic spindle checkpoint, 	
mitotic spindle checkpoint	GO:0071174	33	33	0.56484532	0.09947205	1	GO:2000816|negative regulation of mitotic sister chromatid separation, GO:0033046|negative regulation of sister chromatid segregation, GO:1902100|negative regulation of metaphase/anaphase transition of cell cycle, GO:0033048|negative regulation of mitotic sister chromatid segregation, GO:0045841|negative regulation of mitotic metaphase/anaphase transition, 	
negative regulation of metaphase/anaphase transition of cell cycle	GO:1902100	33	33	0.56484532	0.09947205	1	GO:2000816|negative regulation of mitotic sister chromatid separation, GO:0033046|negative regulation of sister chromatid segregation, GO:0033048|negative regulation of mitotic sister chromatid segregation, GO:0071174|mitotic spindle checkpoint, GO:0045841|negative regulation of mitotic metaphase/anaphase transition, 	
negative regulation of mitotic sister chromatid separation	GO:2000816	33	33	0.56484532	0.09947205	1	GO:0033046|negative regulation of sister chromatid segregation, GO:1902100|negative regulation of metaphase/anaphase transition of cell cycle, GO:0033048|negative regulation of mitotic sister chromatid segregation, GO:0071174|mitotic spindle checkpoint, GO:0045841|negative regulation of mitotic metaphase/anaphase transition, 	
positive regulation of gliogenesis	GO:0014015	33	32	0.56576483	0.09976305	1		
positive regulation of stem cell differentiation	GO:2000738	36	36	0.56170315	0.1000875	1		
immunoglobulin mediated immune response	GO:0016064	58	58	0.54863711	0.10012314	1		
thalamus development	GO:0021794	12	12	0.60674601	0.10019402	1		
platelet formation	GO:0030220	11	11	0.61143125	0.100311	1	GO:0036344|platelet morphogenesis, 	
platelet morphogenesis	GO:0036344	11	11	0.61143125	0.100311	1	GO:0030220|platelet formation, 	
neuron apoptotic process	GO:0051402	27	27	0.5714022	0.10039211	1		
microtubule polymerization or depolymerization	GO:0031109	27	27	0.57101279	0.1007757	1		
positive regulation of mitotic nuclear division	GO:0045840	36	36	0.56145654	0.10098958	1		
regulation of heterotypic cell-cell adhesion	GO:0034114	12	12	0.606197	0.10135091	1		
regulation of odontogenesis of dentin-containing tooth	GO:0042487	11	11	0.61076613	0.1016556	1		
mitotic spindle assembly checkpoint	GO:0007094	30	30	0.56709825	0.10170397	1		
COPI-coated vesicle budding	GO:0035964	11	11	0.6106861	0.10182459	1	GO:0048200|Golgi transport vesicle coating, GO:0048205|COPI coating of Golgi vesicle, 	
Golgi transport vesicle coating	GO:0048200	11	11	0.6106861	0.10182459	1	GO:0048205|COPI coating of Golgi vesicle, GO:0035964|COPI-coated vesicle budding, 	
COPI coating of Golgi vesicle	GO:0048205	11	11	0.6106861	0.10182459	1	GO:0048200|Golgi transport vesicle coating, GO:0035964|COPI-coated vesicle budding, 	
ethanol oxidation	GO:0006069	10	10	0.61607674	0.10184074	1		
regulation of mitotic sister chromatid separation	GO:0010965	40	40	0.55802567	0.10209638	1	GO:0033045|regulation of sister chromatid segregation, GO:0033047|regulation of mitotic sister chromatid segregation, 	
regulation of sister chromatid segregation	GO:0033045	40	40	0.55802567	0.10209638	1	GO:0010965|regulation of mitotic sister chromatid separation, GO:0033047|regulation of mitotic sister chromatid segregation, 	
regulation of mitotic sister chromatid segregation	GO:0033047	40	40	0.55802567	0.10209638	1	GO:0010965|regulation of mitotic sister chromatid separation, GO:0033045|regulation of sister chromatid segregation, 	
negative regulation of DNA recombination	GO:0045910	13	12	0.60580485	0.10219248	1		
regulation of alpha-beta T cell activation	GO:0046634	54	54	0.5496157	0.10367238	1		
spermatid development	GO:0007286	78	78	0.54128896	0.10380217	1		
regulation of mammary gland epithelial cell proliferation	GO:0033599	12	12	0.60501042	0.10390179	1		
regulation of viral genome replication	GO:0045069	50	50	0.55143083	0.10422439	1		
organelle membrane fusion	GO:0090174	33	32	0.56401605	0.10506705	1		
methyltransferase complex	GO:0034708	61	61	0.5462351	0.10591327	1		
sensory perception of light stimulus	GO:0050953	179	179	0.52706526	0.10610485	1		
antigen processing and presentation via MHC class Ib	GO:0002475	11	10	0.6135268	0.10689546	1		
Cajal body	GO:0015030	36	36	0.55977839	0.10728901	1		
negative regulation of cell division	GO:0051782	57	57	0.54742632	0.10782563	1		
regulation of water loss via skin	GO:0033561	10	10	0.6130411	0.10787843	1		
mRNA cap binding complex	GO:0005845	11	11	0.60762267	0.10822181	1	GO:0034518|RNA cap binding complex, 	
RNA cap binding complex	GO:0034518	11	11	0.60762267	0.10822181	1	GO:0005845|mRNA cap binding complex, 	
B cell differentiation	GO:0030183	66	66	0.54399108	0.10831983	1		
photoreceptor inner segment	GO:0001917	24	24	0.57271728	0.10876607	1		
DNA-templated transcription, elongation	GO:0006354	72	71	0.54230974	0.10891988	1		
DNA replication-independent nucleosome assembly	GO:0006336	14	14	0.5950429	0.1090986	1	GO:0034724|DNA replication-independent nucleosome organization, GO:0034080|CENP-A containing nucleosome assembly, GO:0061641|CENP-A containing chromatin organization, 	
CENP-A containing nucleosome assembly	GO:0034080	14	14	0.5950429	0.1090986	1	GO:0034724|DNA replication-independent nucleosome organization, GO:0061641|CENP-A containing chromatin organization, GO:0006336|DNA replication-independent nucleosome assembly, 	
DNA replication-independent nucleosome organization	GO:0034724	14	14	0.5950429	0.1090986	1	GO:0034080|CENP-A containing nucleosome assembly, GO:0061641|CENP-A containing chromatin organization, GO:0006336|DNA replication-independent nucleosome assembly, 	
CENP-A containing chromatin organization	GO:0061641	14	14	0.5950429	0.1090986	1	GO:0034724|DNA replication-independent nucleosome organization, GO:0034080|CENP-A containing nucleosome assembly, GO:0006336|DNA replication-independent nucleosome assembly, 	
autophagy	GO:0006914	85	83	0.53886824	0.11056456	1		
regulation of osteoclast differentiation	GO:0045670	43	43	0.55388535	0.11077725	1		
dopaminergic neuron differentiation	GO:0071542	12	12	0.60154432	0.11160227	1		
blastocyst formation	GO:0001825	24	24	0.57168429	0.11206871	1		
positive regulation of T cell proliferation	GO:0042102	66	66	0.54325451	0.11221623	1		
vacuolar transport	GO:0007034	40	40	0.55549389	0.11231716	1		
notochord development	GO:0030903	15	15	0.5904814	0.11249879	1		
forebrain morphogenesis	GO:0048853	12	12	0.60114963	0.11250435	1		
COPI-coated vesicle membrane	GO:0030663	13	13	0.59713944	0.11261159	1		
regulation of cellular pH	GO:0030641	28	28	0.56612667	0.11293334	1		
adenohypophysis development	GO:0021984	14	13	0.59655089	0.11402293	1		
peptidyl-lysine trimethylation	GO:0018023	11	11	0.60495115	0.11403258	1		
pericardium development	GO:0060039	15	15	0.58964735	0.11465047	1		
regulation of T cell tolerance induction	GO:0002664	11	11	0.60466413	0.11466986	1		
transferase complex	GO:1990234	438	437	0.51681995	0.11473282	1		
blastocyst growth	GO:0001832	15	15	0.58957853	0.11482934	1		
UV protection	GO:0009650	10	10	0.60968976	0.11483874	1		
mitotic cell cycle checkpoint	GO:0007093	131	131	0.53030231	0.11572754	1		
